"TYPE","BRAND","MODEL","LINK","Na","Cl","Ca","Mg","K","P","Sal","(mg_NaCl) per capsula/gel/1L","Observacions"
"Pastilles","226ers","SALTS ELECTROLYTES - Recupera tus Niveles de Sales - 100 Cápsulas","https://www.226ers.com/es/salts-electrolytes-37922.html",141,211.5,2.5,4.5,115,0,0,474.5,
"Pastilles","226ers","SUB9 SALTS ELECTROLYTES - Suplemento deportivo - 2 Cápsulas","https://www.226ers.com/es/sub9-salts-electrolytes-duplo-38116.html",250,375,2.5,18,54,0,,699.5,
"Gel","TOTUM","TOTUM ELECTROLYTES","https://es.totumsport.com/productos/hidratacion-deportiva/totum-electrolytes",264,396,,24,,0,,684,
"Gel","Etixx","ISOTONIC ENERGY GEL","https://www.etixxsports.com/es/productos/isotonic-energy-gel",0,0,0,0,0,0,560,560,
"Barreta","226ers","VEGAN GUMMY BAR - Barritas Energéticas (Lima)","https://www.226ers.com/es/vegan-gummy-bar-61338-57250.html#/50-sabor-lime",0,0,0,9,27,0,310,346,
"Barreta","Etixx","ENERGY SPORT BAR","https://www.etixxsports.com/es/productos/energy-sport-bar",0,0,0,38,0,0,90,128,
"Beguda","Etixx","ISOTONIC DRINK","https://www.etixxsports.com/es/productos/isotonic",0,0,0,0,0,0,1380,1380,
"Beguda","Isostar","BEBIDA HYDRATE & PERFORM LIMÓN","https://www.isostar.es/bebida-hydrate-perform+taste-Lim%C3%B3n",0,0,320,0,0,0,2240,2560,
"Beguda","Pedialyte Sport","Pedialyte Sport","https://pedialyte.es/",1040,1420,0,112,1200,380,0,4152,"* Els sobres venen preparats per dissoldre en 500mL"
"Beguda","Maurten","MAURTEN DRINK MIX 320 BOX","https://maurten.es/productos/22-drink-mix-320.html",,,,,,,1000,1000,
"Beguda","Fuelplus","FUEL+","https://www.fuelplus.es/product-page/copia-de-f-u-e-l",,,,,,,,2000,"*1 sobre per 500mL"
"Ingesta","-","Pa amb formatge",,0,0,0,0,0,0,1500,1500,"*1 sobre per 500mL"
